把计,把计1,把计2,把计3,把计4,把计5,把计6,把计7,把计8,把计9,把计10,把计11,把计12,把计13,把计14,把计15,把计16,把计17,疭┦1,疭┦2,疭┦3,疭┦4
妓セ1,72,18,-132,-14,-26,16,2.999,1.739,5,4.4294,400,175,390,20,4.78,0.16,0.16,53,1/0.6,0.00875,0.00843
妓セ2,-20,795,31,-70,-9,330,3.038,1.573,4,4.2429,400,175,420,20,4.38,0.11,0.11,32,0.5/0.2,0.00627,0.01432
妓セ3,71,767,28,-10,-30,37,2.517,1.56,4,4.2079,200,175,370,20,3.84,0.13,0.13,55,0.7/0.4,0.00816,0.0225
妓セ4,433,480,-51,18,59,-104,2.995,1.741,5,4.4345,400,175,350,40,4.38,0.11,0.11,51,0.9,,
妓セ5,92,800,-54,21,-13,-31,3.003,1.74,5,4.4319,400,175,410,20,4.38,0.11,0.11,70,0.9,,
妓セ6,112,618,53,-39,94,-90,2.996,1.813,6,4.4076,200,175,420,20,3.38,0.11,0.11,71,1,,
妓セ7,54,924,12,22,13,171,2.518,1.563,4,4.216,400,175,450,15,4.78,0.16,0.16,86,0.9,,
妓セ8,47,635,-22,-22,19,3,3.006,1.552,4,4.1863,400,175,370,30,3.37,0.11,0.11,30,0.7,,
妓セ9,114,643,-125,17,-16,230,3.044,1.556,4,4.1971,400,175,460,10,3.37,0.11,0.11,29,0.6,,
妓セ10,33,-48,9,-27,-9,-23,3.02,1.59,4,4.2888,400,175,400,20,4,0.2,0.2,17.8,0.5,0.02593,0.04387
妓セ11,21,45,25,61,-3,12,3.004,1.591,4,4.2915,400,175,510,5,4,0.2,0.2,16.9,0.4,0.00856,0.011
妓セ12,-50,44,-18,-1,34,-26,3.036,1.592,4,4.2942,200,172,400,10,4,0.2,0.2,24.8,0.4,0.03163,0.05553
妓セ13,39,5,-58,9,2,6,3.015,1.592,4,4.2942,200,175,470,15,4,0.2,0.2,19.6,0.5,0.01383,0.0101
妓セ14,24,7,8,4,21,-6,3.008,1.926,7,4.502,400,175,460,20,4,0.2,0.2,103,0.6,0.01617,0.03107
妓セ15,5,-42,14,-18,9,-15,3.011,1.671,4,4.5073,400,175,460,20,4,0.2,0.2,67,0.6,0.0119,0.02604
妓セ16,11,76,49,-2,59,31,3,1.692,4,4.5639,400,175,460,20,4,0.2,0.2,17,0.4,0.01683,0.08154
妓セ17,-59,-17,-36,-7,-60,28,2.992,1.629,4,4.394,400,172,400,10,4,0.2,0.2,25,0.6,,
妓セ18,22,10,-12,28,37,13,3.015,1.747,4,4.71228,400,175,370,30,4.5,0.15,0.15,23,1.3,,
妓セ19,-17,-15,-49,-15,-36,-40,3.037,1.711,4,4.6152,400,175,430,20,4.5,0.15,0.15,48,0.4,0.00877,0.02368
妓セ20,39,20,25,13,45,-26,2.406,1.679,4,4.5289,400,172,400,10,4.5,0.15,0.15,72,0.6,0.02918,0.22678
